Time,CPU Usage
12시 39분 49초,0.5
12시 39분 50초,0.0
12시 39분 51초,0.5
12시 39분 52초,0.25
12시 39분 53초,4.25
12시 39분 54초,0.0
12시 39분 55초,0.25
12시 39분 56초,0.0
12시 39분 57초,1.0100000000000051
12시 39분 58초,1.0100000000000051
12시 39분 59초,0.5
12시 40분 00초,0.5
12시 40분 01초,0.25
12시 40분 02초,0.5
12시 40분 03초,2.0
12시 40분 04초,0.5
12시 40분 05초,0.25
12시 40분 06초,0.0
12시 40분 07초,0.25
12시 40분 08초,0.75
12시 40분 09초,0.25
12시 40분 10초,0.25
12시 40분 11초,0.25
12시 40분 12초,0.25
12시 40분 13초,0.5100000000000051
12시 40분 14초,0.25
12시 40분 15초,0.25
12시 40분 16초,0.0
12시 40분 17초,0.0
12시 40분 18초,0.75
12시 40분 19초,0.25
12시 40분 20초,0.25
12시 40분 21초,0.75
12시 40분 22초,0.25
12시 40분 23초,0.0
12시 40분 24초,0.0
12시 40분 25초,0.0
12시 40분 26초,0.5100000000000051
12시 40분 27초,0.0
12시 40분 28초,16.709999999999994
12시 40분 29초,33.5
12시 40분 30초,25.129999999999995
12시 40분 31초,26.129999999999995
12시 40분 32초,20.840000000000003
12시 40분 33초,0.5
12시 40분 34초,0.25
12시 40분 35초,0.25
12시 40분 36초,0.25
12시 40분 37초,0.25
12시 40분 38초,0.75
12시 40분 39초,0.5
12시 40분 40초,0.5
12시 40분 41초,0.5
12시 40분 42초,0.0
12시 35분 57초,1.0100000000000051
12시 35분 58초,1.0100000000000051
12시 35분 59초,9.090000000000003
12시 36분 00초,0.75
12시 36분 01초,1.2399999999999949
12시 36분 02초,0.75
12시 36분 03초,0.5
12시 36분 04초,0.5
12시 36분 05초,0.0
12시 36분 06초,0.0
12시 36분 07초,6.230000000000004
12시 36분 08초,1.0100000000000051
12시 36분 09초,0.75
12시 36분 10초,1.0
12시 36분 11초,0.0
12시 36분 12초,1.25
12시 36분 13초,0.0
12시 36분 14초,1.0100000000000051
12시 36분 15초,2.0
