Time,cpu usage
21시 31분 13초,99.75
21시 31분 14초,99.75
21시 31분 15초,99.5
21시 31분 16초,99.75
21시 31분 17초,99.5
21시 31분 18초,100.0
21시 31분 19초,100.0
21시 31분 20초,99.5
21시 31분 21초,99.75
21시 31분 22초,99.25
21시 31분 23초,99.25
21시 31분 24초,99.5
21시 31분 25초,99.5
21시 31분 26초,99.75
21시 31분 27초,100.0
21시 31분 28초,99.75
21시 31분 29초,99.75
21시 31분 30초,99.25
21시 31분 31초,99.75
21시 31분 32초,99.0
21시 31분 33초,100.0
21시 31분 34초,100.0
21시 31분 35초,99.5
21시 31분 36초,99.25
21시 31분 37초,99.75
21시 31분 38초,99.5
21시 31분 39초,100.0
21시 31분 40초,99.75
21시 31분 41초,99.75
21시 31분 42초,100.0
21시 31분 43초,100.0
21시 31분 44초,100.0
21시 31분 45초,99.5
21시 31분 46초,99.25
21시 31분 47초,100.0
21시 31분 48초,100.0
21시 31분 49초,100.0
21시 31분 50초,99.75
21시 31분 51초,100.0
21시 31분 52초,100.0
21시 31분 53초,100.0
21시 31분 54초,99.0
21시 31분 55초,99.75
21시 31분 56초,99.75
21시 31분 57초,100.0
21시 29분 53초,98.25
21시 29분 54초,99.75
21시 29분 55초,99.75
21시 29분 56초,99.75
21시 29분 57초,99.75
21시 29분 58초,99.25
21시 29분 59초,98.99
21시 30분 00초,99.75
21시 30분 01초,100.0
21시 30분 02초,100.0
21시 30분 03초,100.0
21시 30분 04초,99.5
21시 30분 05초,99.5
21시 30분 06초,100.0
21시 30분 07초,100.0
21시 30분 08초,100.0
21시 30분 09초,99.0
21시 30분 10초,100.0
21시 30분 11초,99.75
21시 30분 12초,99.75
21시 30분 13초,100.0
21시 30분 14초,99.5
21시 30분 15초,98.75
21시 30분 16초,100.0
21시 30분 17초,99.75
21시 30분 18초,99.75
21시 30분 19초,99.25
21시 30분 20초,99.75
21시 30분 21초,99.75
21시 30분 22초,99.75
21시 30분 23초,99.0
21시 30분 24초,99.75
21시 30분 25초,100.0
21시 30분 26초,99.25
21시 30분 27초,99.75
21시 30분 28초,99.75
21시 30분 29초,99.25
21시 30분 30초,99.5
21시 30분 31초,99.75
21시 30분 32초,100.0
21시 30분 33초,99.75
21시 30분 34초,99.0
21시 30분 35초,100.0
21시 30분 36초,99.75
21시 30분 37초,99.75
21시 30분 38초,100.0
21시 30분 39초,99.25
21시 30분 40초,100.0
21시 30분 41초,99.75
21시 30분 42초,99.75
21시 30분 43초,100.0
21시 30분 44초,99.75
21시 30분 45초,100.0
21시 30분 46초,100.0
21시 30분 47초,100.0
21시 30분 48초,100.0
21시 30분 49초,99.5
21시 30분 50초,100.0
21시 30분 51초,100.0
21시 30분 52초,100.0
